"","Title","Path","Box"
"5029","Monsters, Inc.","/movies/?id=monstersinc.htm",255873250
"12331","The Hobbit: The Battle of the Five Armies","/movies/?id=hobbit3.htm",255119788
"10372","The Hangover Part II","/movies/?id=hangover2.htm",254464305
"362","Return of the Jedi","/movies/?id=starwars6.htm",252583617
"9839","Despicable Me","/movies/?id=despicableme.htm",251513985
"1574","Batman","/movies/?id=batman.htm",251188924
"7466","Night at the Museum","/movies/?id=nightatthemuseum.htm",250863268
"3629","Men in Black","/movies/?id=meninblack.htm",250690539
"6372","Harry Potter and the Prisoner of Azkaban","/movies/?id=harrypotter3.htm",249541069
"4269","Toy Story 2","/movies/?id=toystory2.htm",245852179
"12332","Transformers: Age of Extinction","/movies/?id=transformers4.htm",245439076
"7467","Cars","/movies/?id=cars.htm",244082982
"5865","Bruce Almighty","/movies/?id=brucealmighty.htm",242829261
"3318","Twister","/movies/?id=twister.htm",241721524
"5386","My Big Fat Greek Wedding","/movies/?id=mybigfatgreekwedding.htm",241438208
"12333","Maleficent","/movies/?id=maleficient.htm",241410378
"10373","Pirates of the Caribbean: On Stranger Tides","/movies/?id=piratesofthecaribbean4.htm",241071802
"9840","Shrek Forever After","/movies/?id=shrek4.htm",238736787
"11646","Fast & Furious 6","/movies/?id=fast6.htm",238679850
"10978","Brave","/movies/?id=bearandthebow.htm",237283207
"11647","Oz The Great and Powerful","/movies/?id=oz.htm",234911825
"525","Beverly Hills Cop","/movies/?id=beverlyhillscop.htm",234760478
"7468","X-Men: The Last Stand","/movies/?id=x3.htm",234362462
"6921","War of the Worlds","/movies/?id=waroftheworlds.htm",234280354
"12334","X-Men: Days of Future Past","/movies/?id=xmen2014.htm",233921534
"4653","Cast Away","/movies/?id=castaway.htm",233632142
"526","Ghostbusters","/movies/?id=ghostbusters.htm",229242989
"3630","The Lost World: Jurassic Park","/movies/?id=jurassicpark2.htm",229086679
"11648","Star Trek Into Darkness","/movies/?id=startrek12.htm",228778661
"13035","The Martian","/movies/?id=scott2016.htm",228433663
"5387","Signs","/movies/?id=signs.htm",227966634
"8707","Hancock","/movies/?id=hancock.htm",227946274
"8079","The Bourne Ultimatum","/movies/?id=bourneultimatum.htm",227471070
"5030","Rush Hour 2","/movies/?id=rushhour2.htm",226164286
"8708","WALL-E","/movies/?id=wall-e.htm",223808164
"12335","Big Hero 6","/movies/?id=disney2014.htm",222527828
"8080","National Treasure: Book of Secrets","/movies/?id=nationaltreasure2.htm",219964115
"9320","Alvin and the Chipmunks: The Squeakquel","/movies/?id=alvinandthechipmunksii.htm",219614612
"2521","Mrs. Doubtfire","/movies/?id=mrsdoubtfire.htm",219195243
"10979","Ted","/movies/?id=ted.htm",218815487
"6922","King Kong","/movies/?id=kingkong05.htm",218080025
"1815","Ghost","/movies/?id=ghost.htm",217631306
"9841","How to Train Your Dragon","/movies/?id=howtotrainyourdragon.htm",217581231
"7469","The Da Vinci Code","/movies/?id=davincicode.htm",217536138
"2285","Aladdin","/movies/?id=aladdin.htm",217350219
"8081","Alvin and the Chipmunks","/movies/?id=alvinandthechipmunks.htm",217326974
"3931","Saving Private Ryan","/movies/?id=savingprivateryan.htm",216540909
"10980","Madagascar 3: Europe's Most Wanted","/movies/?id=madagascar3.htm",216391482
"8709","Kung Fu Panda","/movies/?id=kungfupanda.htm",215434591
"4654","Mission: Impossible II","/movies/?id=mi2.htm",215409889
"5866","X2: X-Men United","/movies/?id=x2.htm",214949694
"10981","Dr. Seuss' The Lorax","/movies/?id=lorax.htm",214030500
"5388","Austin Powers in Goldmember","/movies/?id=austinpowers3.htm",213307889
"117","Raiders of the Lost Ark","/movies/?id=raidersofthelostark.htm",212222025
"8082","300","/movies/?id=300.htm",210614939
"693","Back to the Future","/movies/?id=backtothefuture.htm",210609762
"10374","Fast Five","/movies/?id=fastfive.htm",209837675
"1","The Empire Strikes Back","/movies/?id=starwars5.htm",209398025
"10375","Mission: Impossible - Ghost Protocol","/movies/?id=mi4.htm",209397903
"6923","Wedding Crashers","/movies/?id=weddingcrashers.htm",209255921
"9321","Sherlock Holmes","/movies/?id=sherlockholmes.htm",209028679
"12336","Dawn of the Planet of the Apes","/movies/?id=dawnoftheapes.htm",208545589
"6924","Charlie and the Chocolate Factory","/movies/?id=charliechocolate.htm",206459076
"8083","Ratatouille","/movies/?id=ratatouille.htm",206445654
"11649","Thor: The Dark World","/movies/?id=thor2.htm",206362140
"4270","Austin Powers: The Spy Who Shagged Me","/movies/?id=austinpowers2.htm",206040086
"6925","Batman Begins","/movies/?id=batmanbegins.htm",205343774
"2040","Terminator 2: Judgment Day","/movies/?id=terminator2.htm",204843345
"12337","The Amazing Spider-Man 2","/movies/?id=amazingspiderman2.htm",202853933
"11650","World War Z","/movies/?id=worldwarz.htm",202359711
"5031","The Mummy Returns","/movies/?id=mummyreturns.htm",202019785
"3932","Armageddon","/movies/?id=armageddon.htm",201578182
"13036","Cinderella (2015)","/movies/?id=cinderella2015.htm",201151353
"9842","Tangled","/movies/?id=rapunzel.htm",200821936
"12338","Godzilla (2014)","/movies/?id=godzilla2012.htm",200676069
"7470","Superman Returns","/movies/?id=superman06.htm",200081192
"13037","Spectre","/movies/?id=bond24.htm",200074609
"5032","Pearl Harbor","/movies/?id=pearlharbor.htm",198542554
"9322","Monsters Vs. Aliens","/movies/?id=monstersvsaliens.htm",198351526
"7471","Happy Feet","/movies/?id=happyfeet.htm",198000317
"1575","Indiana Jones and the Last Crusade","/movies/?id=indianajonesandthelastcrusade.htm",197171806
"9323","Ice Age: Dawn of the Dinosaurs","/movies/?id=iceage3.htm",196573705
"7472","Ice Age: The Meltdown","/movies/?id=iceage2.htm",195330621
"13038","Mission: Impossible - Rogue Nation","/movies/?id=mi5.htm",195042377
"6926","Madagascar","/movies/?id=madagascar.htm",193595521
"8710","Twilight","/movies/?id=twilight08.htm",192769854
"3037","Toy Story","/movies/?id=toystory.htm",191796233
"12339","22 Jump Street","/movies/?id=21jumpstreet2.htm",191719337
"10376","Cars 2","/movies/?id=cars2.htm",191452396
"12340","Teenage Mutant Ninja Turtles (2014)","/movies/?id=tmnt2013.htm",191204754
"5389","Men in Black II","/movies/?id=meninblack2.htm",190418803
"10982","Wreck-It Ralph","/movies/?id=rebootralph.htm",189422889
"12341","Interstellar","/movies/?id=interstellar.htm",188020017
"4655","Gladiator","/movies/?id=gladiator.htm",187705427
"11651","The Croods","/movies/?id=croods.htm",187168425
"10377","Sherlock Holmes: A Game of Shadows","/movies/?id=sherlockholmes2.htm",186848418
