"","Title","Path","Box","Distrubutor","Release.Date","Genre","Runtime","MPAA","Budget"
"53","Pirates of the Caribbean: At World's End","/movies/?id=piratesofthecaribbean3.htm",309420425,"Buena Vista","May","Period Adventure",168,"PG-13",300
"54","Independence Day","/movies/?id=independenceday.htm",306169268,"Fox","July","Sci-Fi Action",153,"PG-13",75
"55","Pirates of the Caribbean: The Curse of the Black Pearl","/movies/?id=piratesofthecaribbean.htm",305413918,"Buena Vista","July","Period Adventure",135,"PG-13",140
"56","Skyfall","/movies/?id=bond23.htm",304360277,"Sony / Columbia","November","Action",143,"PG-13",200
"57","The Hobbit: An Unexpected Journey","/movies/?id=hobbit.htm",303003568,"Warner Bros. (New Line)","December","Fantasy",166,"PG-13",NA
"58","Star Wars: Episode II - Attack of the Clones","/movies/?id=starwars2.htm",302191252,"Fox","May","Sci-Fi Fantasy",132,"PG",115
"59","Harry Potter and the Half-Blood Prince","/movies/?id=harrypotter6.htm",301959197,"Warner Bros.","July","Fantasy",153,"PG",250
"60","The Twilight Saga: Eclipse","/movies/?id=eclipse.htm",300531751,"Summit Entertainment","June","Romance",124,"PG-13",68
"61","The Twilight Saga: New Moon","/movies/?id=newmoon.htm",296623634,"Summit Entertainment","November","Romance",130,"PG-13",50
"62","Harry Potter and the Deathly Hallows Part 1","/movies/?id=harrypotter7.htm",295983305,"Warner Bros.","November","Fantasy",150,"PG-13",NA
"63","The Sixth Sense","/movies/?id=sixthsense.htm",293506292,"Buena Vista","August","Horror",107,"PG-13",40
"64","Up","/movies/?id=up.htm",293004164,"Buena Vista","May","Animation",96,"PG",175
"65","Inception","/movies/?id=inception.htm",292576195,"Warner Bros.","July","Sci-Fi Action",148,"PG-13",160
"66","The Twilight Saga: Breaking Dawn Part 2","/movies/?id=breakingdawn2.htm",292324737,"Lionsgate/Summit","November","Romance",116,"PG-13",120
"67","Harry Potter and the Order of the Phoenix","/movies/?id=harrypotter5.htm",292004738,"Warner Bros.","July","Fantasy",139,"PG-13",150
"68","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","/movies/?id=narnia.htm",291710957,"Buena Vista","December","Fantasy",132,"PG",180
"69","Man of Steel","/movies/?id=superman2012.htm",291045518,"Warner Bros.","June","Action / Adventure",143,"PG-13",225
"70","Harry Potter and the Goblet of Fire","/movies/?id=harrypotter4.htm",290013036,"Warner Bros.","November","Fantasy",153,"PG-13",150
"71","Home Alone","/movies/?id=homealone.htm",285761243,"Fox","November","Family Comedy",105,"PG",18
