"","Title","Path","Box","Distrubutor","Release.Date","Genre","Runtime","MPAA","Budget"
"4297","Renegades","/movies/?id=renegades.htm",9015164,"Universal","June","Action Comedy",106,"R",NA
"4298","White Sands","/movies/?id=whitesands.htm",9011574,"Warner Bros.","April","Crime Thriller",101,"R",NA
"4299","Tribute","/movies/?id=tribute.htm",9e+06,"Fox","December","Unknown",121,"PG",NA
"4300","Saturn 3","/movies/?id=saturn3.htm",9e+06,"Associated Film Dist.","February","Sci-Fi Thriller",88,"R",NA
"4301","Deadly Friend","/movies/?id=deadlyfriend.htm",8988731,"Warner Bros.","October","Unknown",91,"R",NA
"4302","Aliens of the Deep (IMAX)","/movies/?id=aliensofthedeep.htm",8968684,"Buena Vista","January","IMAX",47,"G",NA
"4303","Alien Adventure (IMAX)","/movies/?id=alienadventureimax.htm",8959784,"N Wave","August","IMAX",35,"Unrated",NA
"4304","Teaching Mrs. Tingle","/movies/?id=teachingmrstingle.htm",8951935,"Miramax","August","Comedy Thriller",95,"PG-13",13
"4305","Saved!","/movies/?id=saved.htm",8940582,"United Artists","May","Comedy",93,"PG-13",5
"4306","In the Mouth of Madness","/movies/?id=inthemouthofmadness.htm",8924549,"New Line","February","Horror",95,"R",8
"4307","Bolero","/movies/?id=bolero.htm",8914881,"Cannon Films","August","Unknown",105,"R",NA
"4308","The Next Karate Kid","/movies/?id=karatekid4.htm",8914777,"Columbia","August","Sports Action",104,"PG",NA
"4309","Late for Dinner","/movies/?id=latefordinner.htm",8906823,"Columbia","September","Fantasy Drama",93,"PG",NA
"4310","The Formula","/movies/?id=formula.htm",8894289,"MGM","December","Unknown",117,"R",NA
"4311","Salsa - The Motion Picture","/movies/?id=salsa.htm",8892589,"Cannon Films","May","Unknown",99,"PG",NA
"4312","Mystery, Alaska","/movies/?id=mysteryalaska.htm",8891623,"Buena Vista","October","Sports Comedy",119,"R",28
"4313","Battle of the Year","/movies/?id=planetbboy3d.htm",8888355,"Sony / Screen Gems","September","Drama",109,"PG-13",20
"4314","The Inkwell","/movies/?id=inkwell.htm",8880705,"Buena Vista","April","Comedy",112,"R",NA
"4315","White Fang II: Myth of the White Wolf","/movies/?id=whitefang2.htm",8878839,"Buena Vista","April","Family Adventure",106,"PG",NA
"4316","Apt Pupil","/movies/?id=aptpupil.htm",8863193,"Sony / Columbia","October","Thriller",112,"R",NA
"4317","Nightbreed","/movies/?id=nightbreed.htm",8862354,"Fox","February","Horror",102,"R",NA
"4318","Movie 43","/movies/?id=movie43.htm",8840453,"Relativity","January","Comedy",97,"R",6
"4319","The Deep End","/movies/?id=deepend.htm",8823109,"Fox Searchlight","August","Drama / Thriller",101,"R",3
"4320","Ratchet & Clank","/movies/?id=ratchetandclank.htm",8821329,"Focus Features","April","Animation",94,"PG",NA
"4321","Body Double","/movies/?id=bodydouble.htm",8801940,"Columbia","October","Unknown",109,"R",NA
"4322","Scandal","/movies/?id=scandal.htm",8800000,"Miramax","April","Unknown",114,"R",NA
"4323","Before and After","/movies/?id=beforeandafter.htm",8797839,"Buena Vista","February","Drama",108,"PG-13",NA
"4324","The Seeker: The Dark Is Rising","/movies/?id=darkisrising.htm",8794452,"Fox","October","Fantasy",94,"PG",NA
"4325","Oxford Blues","/movies/?id=oxfordblues.htm",8793152,"MGM","August","Comedy",97,"PG-13",NA
"4326","The Five Heartbeats","/movies/?id=fiveheartbeats.htm",8750400,"Fox","March","Music Drama",116,"R",NA
"4327","Mad Max","/movies/?id=madmax.htm",8750000,"Filmways","March","Sci-Fi Action",94,"R",NA
"4328","Whatever It Takes","/movies/?id=whateverittakes.htm",8745680,"Sony / Columbia","March","Romantic Comedy",94,"PG-13",32
"4329","True Believer","/movies/?id=truebeliever.htm",8742750,"Columbia","February","Unknown",104,"R",NA
"4330","Street Fighter: The Legend of Chun-Li","/movies/?id=streetfighter09.htm",8742261,"Fox","February","Action",96,"PG-13",NA
"4331","Suspect Zero","/movies/?id=suspectzero.htm",8725813,"Paramount","August","Thriller",100,"R",27
"4332","John Carpenter's Ghosts of Mars","/movies/?id=ghostsofmars.htm",8709640,"Sony / Screen Gems","August","Sci-Fi Horror",98,"R",28
"4333","Tim Burton's The Nightmare Before Christmas in 3-D (2006)","/movies/?id=3d06.htm",8700869,"Buena Vista","October","Animation",76,"PG",NA
"4334","If You Could See What I Hear","/movies/?id=ifyoucouldseewhatihear.htm",8693512,"Jensen Farley","April","Music Drama",103,"PG",NA
"4335","Mischief","/movies/?id=mischief.htm",8692426,"Fox","February","Comedy",93,"R",NA
"4336","Clean and Sober","/movies/?id=cleanandsober.htm",8674093,"Warner Bros.","August","Unknown",124,"R",NA
"4337","Once Upon a Crime","/movies/?id=onceuponacrime.htm",8669847,"MGM","March","Comedy",94,"PG",NA
"4338","Bingo","/movies/?id=bingo.htm",8667684,"TriStar","August","Family Comedy",89,"PG",NA
"4339","My Life in Ruins","/movies/?id=mylifeinruins.htm",8665206,"Fox Searchlight","June","Comedy",98,"PG-13",NA
"4340","The Puppet Masters","/movies/?id=puppetmasters.htm",8647042,"Buena Vista","October","Horror",109,"R",NA
"4341","The Man with One Red Shoe","/movies/?id=manwithoneredshoe.htm",8645411,"Fox","July","Unknown",92,"PG",NA
"4342","That Was Then... This Is Now","/movies/?id=thatwasthenthisisnow.htm",8630068,"Paramount","November","Unknown",102,"R",NA
"4343","Secret Admirer","/movies/?id=secretadmirer.htm",8622757,"Orion Pictures","June","Romantic Comedy",100,"R",NA
"4344","Manhunter","/movies/?id=manhunter.htm",8620929,"DEG","August","Unknown",124,"R",NA
"4345","All Dogs Go to Heaven 2","/movies/?id=alldogsgotoheaven2.htm",8620678,"MGM","March","Animation",81,"G",NA
"4346","The Bounty","/movies/?id=bounty.htm",8613462,"Orion Pictures","May","Unknown",130,"PG",NA
"4347","U2: Rattle and Hum","/movies/?id=u2rattleandhum.htm",8600823,"Paramount","November","Unknown",98,"PG-13",NA
"4348","Boat Trip","/movies/?id=boattrip.htm",8600126,"Artisan","March","Comedy",95,"R",20
"4349","Pollock","/movies/?id=pollock.htm",8598593,"Sony Classics","December","Drama",117,"R",NA
"4350","An Unfinished Life","/movies/?id=unfinishedlife.htm",8586392,"Miramax","September","Drama",100,"PG-13",30
"4351","Death at a Funeral (2007)","/movies/?id=deathatafuneral.htm",8580428,"MGM","August","Comedy / Drama",90,"R",9
"4352","High Spirits","/movies/?id=highspirits.htm",8578231,"TriStar","November","Unknown",99,"PG-13",NA
"4353","Strange Brew","/movies/?id=strangebrew.htm",8571374,"MGM","August","Unknown",90,"PG",NA
"4354","Leprechaun","/movies/?id=leprechaun.htm",8556940,"Trimark","January","Horror",91,"R",NA
"4355","Blue Velvet","/movies/?id=bluevelvet.htm",8551228,"DEG","September","Unknown",120,"R",6
"4356","The Rich Man's Wife","/movies/?id=richmanswife.htm",8543587,"Buena Vista","September","Thriller",95,"R",NA
"4357","The Care Bears Movie 2","/movies/?id=carebearsmovie2.htm",8540346,"Columbia","March","Animation",77,"G",NA
"4358","Without a Clue","/movies/?id=withoutaclue.htm",8539181,"Orion Pictures","October","Unknown",107,"PG",NA
"4359","Ski Patrol","/movies/?id=skipatrol.htm",8533973,"Triumph","January","Sports Comedy",88,"PG",NA
"4360","The Big Brawl","/movies/?id=bigbrawl.htm",8527743,"Warner Bros.","August","Period Action",95,"R",NA
"4361","MacGruber","/movies/?id=macgruber.htm",8525600,"Universal","May","Comedy",88,"R",10
"4362","The Quiet Ones","/movies/?id=quietones.htm",8509867,"Lionsgate","April","Horror",98,"PG-13",NA
"4363","Troop Beverly Hills","/movies/?id=troopbeverlyhills.htm",8508843,"Columbia","March","Unknown",100,"PG",NA
"4364","Stick","/movies/?id=stick.htm",8489518,"Universal","April","Action / Crime",109,"R",NA
"4365","Attack of the Clones: The IMAX Experience (IMAX)","/movies/?id=starwars2imax.htm",8485488,"Fox","November","IMAX",120,"PG",NA
"4366","Nothing But Trouble","/movies/?id=nothingbuttrouble.htm",8479793,"Warner Bros.","February","Comedy",93,"PG-13",40
"4367","Wise Guys","/movies/?id=wiseguys.htm",8475466,"MGM","April","Unknown",91,"R",NA
"4368","Legends of Oz: Dorothy's Return","/movies/?id=legendsofoz.htm",8462027,"Clarius Entertainment","May","Animation",88,"PG",70
"4369","Tender Mercies","/movies/?id=tendermercies.htm",8443124,"Universal","March","Unknown",92,"PG",NA
"4370","Bebe's Kids","/movies/?id=bebeskids.htm",8442162,"Paramount","July","Animation",72,"PG-13",NA
"4371","Play It to the Bone","/movies/?id=playittothebone.htm",8434146,"Buena Vista","December","Sports Comedy",125,"R",24
"4372","1984","/movies/?id=1984.htm",8430492,"Samuel Goldwyn","December","Unknown",113,"R",NA
"4373","The Awakening","/movies/?id=awakening.htm",8415112,"Warner Bros.","October","Unknown",105,"R",NA
"4374","Amy","/movies/?id=amy.htm",8413144,"A24","July","Documentary",128,"R",NA
"4375","Pushing Tin","/movies/?id=pushingtin.htm",8408835,"Fox","April","Comedy",124,"R",33
"4376","Dr. Giggles","/movies/?id=drgiggles.htm",8403433,"Universal","October","Horror",95,"R",NA
"4377","Sex Drive","/movies/?id=sexdrive.htm",8402485,"Summit Entertainment","October","Comedy",109,"R",19
"4378","Twice in a Lifetime","/movies/?id=twiceinalifetime.htm",8402424,"Bud Yorkin Co.","October","Unknown",111,"R",NA
"4379","Something Wicked This Way Comes","/movies/?id=somethingwickedthiswaycomes.htm",8400000,"Buena Vista","April","Unknown",96,"PG",NA
"4380","Fantasia 2000 (35mm)","/movies/?id=fantasia200035mm.htm",8394966,"Buena Vista","January","Animation",74,"G",NA
"4381","The Importance of Being Earnest","/movies/?id=importanceofbeingearnest.htm",8384929,"Miramax","May","Period Comedy",94,"PG",NA
"4382","The Last Temptation of Christ","/movies/?id=lasttemptationofchrist.htm",8373585,"Universal","August","Unknown",163,"R",NA
"4383","Smoke","/movies/?id=smoke.htm",8367636,"Miramax","June","Comedy / Drama",112,"R",NA
"4384","Death to Smoochy","/movies/?id=deathtosmoochy.htm",8364691,"Warner Bros.","March","Comedy Thriller",109,"R",50
"4385","Turbo: A Power Rangers Movie","/movies/?id=turboapowerrangersmovie.htm",8363899,"Fox","March","Family Adventure",99,"PG",NA
"4386","Something Wild","/movies/?id=somethingwild.htm",8362969,"Orion Pictures","November","Comedy",112,"R",NA
"4387","Twin Dragons","/movies/?id=twindragons.htm",8359717,"Miramax","April","Action",90,"PG-13",10
"4388","Mr. Jones","/movies/?id=mrjones.htm",8345845,"TriStar","October","Romance",114,"R",NA
"4389","My Life as a Dog","/movies/?id=mylifeasadog.htm",8345266,"Skouras","May","Foreign",101,"Unrated",NA
"4390","A Simple Wish","/movies/?id=simplewish.htm",8345056,"Universal","July","Family Comedy",90,"PG",NA
"4391","Return to Paradise","/movies/?id=returntoparadise.htm",8341087,"PolyGram","August","Drama / Thriller",112,"R",NA
"4392","Tenacious D in: The Pick of Destiny","/movies/?id=tenaciousd.htm",8334575,"New Line","November","Comedy",90,"R",20
"4393","The Man","/movies/?id=man.htm",8330720,"New Line","September","Action Comedy",84,"PG-13",NA
"4394","Mandela: Long Walk to Freedom","/movies/?id=mandela2013.htm",8323085,"Weinstein Company","November","Drama",139,"PG-13",NA
"4395","Larger Than Life","/movies/?id=largerthanlife.htm",8315693,"MGM","November","Family Comedy",93,"PG",NA
"4396","Johnny English Reborn","/movies/?id=johnnyenglish2.htm",8305970,"Universal","October","Action Comedy",101,"PG",45
"4397","The Love Letter","/movies/?id=loveletter.htm",8302478,"DreamWorks","May","Romantic Comedy",99,"PG-13",20
"4398","Shadow of the Vampire","/movies/?id=shadowofthevampire.htm",8293784,"Lions Gate","December","Horror Comedy",93,"R",NA
"4399","The Cooler","/movies/?id=cooler.htm",8291572,"Lions Gate","November","Crime Drama",101,"R",NA
"4400","Reckless","/movies/?id=reckless.htm",8289916,"MGM","February","Unknown",90,"R",NA
"4401","Deadly Blessing","/movies/?id=deadlyblessing.htm",8279042,"MGM","August","Unknown",102,"R",NA
"4402","All About My Mother","/movies/?id=allaboutmymother.htm",8272296,"Sony Classics","November","Foreign",101,"R",NA
"4403","Cry-Baby","/movies/?id=cry-baby.htm",8266343,"Universal","April","Musical",92,"PG",NA
"4404","Satisfaction","/movies/?id=satisfaction.htm",8253123,"Fox","February","Unknown",92,"PG-13",NA
"4405","Christopher Columbus: The Discovery","/movies/?id=christophercolumbus.htm",8251071,"Warner Bros.","August","Historical Drama",120,"PG-13",40
"4406","The Blob","/movies/?id=blob.htm",8247943,"TriStar","August","Sci-Fi Horror",95,"R",NA
"4407","Tall Tale","/movies/?id=talltale.htm",8247627,"Buena Vista","March","Family Adventure",97,"PG",32
"4408","Blue Steel","/movies/?id=bluesteel.htm",8217997,"MGM","March","Thriller",104,"R",NA
"4409","Black Robe","/movies/?id=blackrobe.htm",8211952,"Samuel Goldwyn","October","Historical Drama",101,"R",NA
"4410","Whose Life Is It, Anyway?","/movies/?id=whoselifeisit,anyway.htm",8206145,"MGM","December","Unknown",118,"R",NA
"4411","Lucas","/movies/?id=lucas.htm",8200000,"Fox","March","Unknown",100,"PG-13",NA
"4412","Cadillac Records","/movies/?id=cadillacrecords.htm",8195551,"Sony / Columbia","December","Music Drama",108,"R",12
"4413","Fantasia (Re-issue) (1985)","/movies/?id=fantasia85.htm",8194726,"Buena Vista","February","Unknown",125,"G",NA
"4414","Bajrangi Bhaijaan","/movies/?id=bajrangibhaijaan.htm",8178001,"Eros","July","Drama",163,"Unrated",NA
"4415","Nick of Time","/movies/?id=nickoftime.htm",8175346,"Paramount","November","Thriller",88,"R",NA
"4416","Firestorm","/movies/?id=firestorm.htm",8165212,"Fox","January","Action",89,"R",19
"4417","Cheetah","/movies/?id=cheetah.htm",8153677,"Buena Vista","August","Unknown",83,"G",NA
"4418","Deepstar Six","/movies/?id=deepstarsix.htm",8143225,"TriStar","January","Sci-Fi Horror",103,"R",NA
"4419","Funny About Love","/movies/?id=funnyaboutlove.htm",8141292,"Paramount","September","Romantic Comedy",101,"PG-13",NA
"4420","Code Name: The Cleaner","/movies/?id=cleaner.htm",8135024,"New Line","January","Action Comedy",84,"PG-13",20
"4421","Delta Farce","/movies/?id=deltafarce.htm",8130530,"Lionsgate","May","Comedy",90,"PG-13",NA
"4422","Dead Bang","/movies/?id=deadbang.htm",8125592,"Warner Bros.","March","Unknown",103,"R",NA
"4423","Prince of the City","/movies/?id=princeofthecity.htm",8124257,"Warner Bros.","August","Unknown",167,"R",NA
"4424","The Lobster (US Release)","/movies/?id=thelobster.htm",8121692,"A24","May","Comedy / Drama",118,"R",NA
"4425","Mad Hot Ballroom","/movies/?id=madhotballroom.htm",8117961,"Paramount Classics","May","Documentary",110,"PG",NA
"4426","Hoot","/movies/?id=hoot.htm",8117637,"New Line","May","Family Comedy",90,"PG",15
"4427","The Road","/movies/?id=road08.htm",8117000,"Weinstein / Dimension","November","Drama / Thriller",119,"R",25
"4428","Before Midnight","/movies/?id=beforemidnight.htm",8114627,"Sony Classics","May","Drama",108,"R",NA
"4429","Dirty Pretty Things","/movies/?id=dirtyprettythings.htm",8112414,"Miramax","July","Drama / Thriller",97,"R",NA
"4430","Inherent Vice","/movies/?id=inherentvice.htm",8110975,"Warner Bros.","December","Crime",148,"R",NA
"4431","The Philadelphia Experiment","/movies/?id=philadelphiaexperiment.htm",8103330,"New World","August","Unknown",101,"PG",NA
"4432","Fresh","/movies/?id=fresh.htm",8094616,"Miramax","August","Crime Drama",114,"R",NA
"4433","Streets of Fire","/movies/?id=streetsoffire.htm",8089290,"Universal","June","Unknown",93,"PG",NA
"4434","Connie and Carla","/movies/?id=connieandcarla.htm",8085771,"Universal","April","Comedy",97,"PG-13",27
"4435","The Adventures of Baron Munchausen","/movies/?id=adventuresofbaronmunchausen.htm",8083123,"Columbia","March","Unknown",125,"PG",46.63
"4436","My Giant","/movies/?id=mygiant.htm",8072007,"Sony / Columbia","April","Comedy",104,"PG",NA
"4437","Bella","/movies/?id=bella.htm",8070537,"Roadside Attractions","October","Drama",91,"PG-13",3.3
"4438","Woo","/movies/?id=woo.htm",8064972,"New Line","May","Romantic Comedy",80,"R",NA
"4439","The Painted Veil","/movies/?id=paintedveil.htm",8060487,"Warner Independent","December","Period Drama",124,"PG-13",NA
"4440","Punisher: War Zone","/movies/?id=punisher2.htm",8050977,"Lionsgate","December","Action",107,"R",35
"4441","Aspen Extreme","/movies/?id=aspenextreme.htm",8041049,"Buena Vista","January","Sports Comedy",118,"PG-13",NA
"4442","Dead Ringers","/movies/?id=deadringers.htm",8038508,"Fox","September","Unknown",115,"R",NA
"4443","The Ice Storm","/movies/?id=icestorm.htm",8038061,"Fox Searchlight","September","Drama",112,"R",NA
"4444","Haunted Honeymoon","/movies/?id=hauntedhoneymoon.htm",8033397,"Orion Pictures","July","Unknown",84,"PG",NA
"4445","Dhoom 3","/movies/?id=dhoom3.htm",8031955,"Yash Raj","December","Foreign / Action",172,"Unrated",NA
"4446","The Texas Chainsaw Massacre 2","/movies/?id=texaschainsawmassacre2.htm",8025872,"Cannon Films","August","Horror",89,"R",4.7
"4447","Jerusalem","/movies/?id=jerusalem.htm",8020721,"National Geographic Entertainment","September","Documentary",45,"Unrated",NA
"4448","Pirate Radio","/movies/?id=boatthatrocked.htm",8017917,"Focus Features","November","Comedy",115,"R",50
"4449","The Meteor Man","/movies/?id=meteorman.htm",8016708,"MGM","August","Fantasy Comedy",100,"PG",NA
"4450","Dragon Ball Z: Resurrection 'F'","/movies/?id=dragonballzresurrectionoff.htm",8008363,"FUNimation Films","August","Animation",105,"Unrated",NA
"4451","The Great White Hype","/movies/?id=greatwhitehype.htm",8008255,"Fox","May","Sports Comedy",91,"R",NA
"4452","Machete Kills","/movies/?id=machete2.htm",8008161,"Open Road Films","October","Action",107,"R",NA
"4453","Blackhat","/movies/?id=mann2015.htm",8005980,"Universal","January","Thriller",135,"R",70
"4454","Night Crossing","/movies/?id=nightcrossing.htm",8e+06,"Buena Vista","February","Unknown",107,"PG",NA
"4455","Dazed and Confused","/movies/?id=dazedandconfused.htm",7993039,"Gramercy","September","Comedy",95,"R",NA
"4456","The Pirate Movie","/movies/?id=piratemovie.htm",7983086,"Fox","August","Musical",105,"PG",NA
"4457","Strange Days","/movies/?id=strangedays.htm",7959291,"Fox","October","Sci-Fi Thriller",145,"R",42
"4458","Blankman","/movies/?id=blankman.htm",7941977,"Columbia","August","Fantasy Comedy",96,"PG-13",NA
"4459","A Thousand Acres","/movies/?id=thousandacres.htm",7936780,"Buena Vista","September","Drama",105,"R",NA
"4460","Unstrung Heroes","/movies/?id=unstrungheroes.htm",7929434,"Buena Vista","September","Comedy / Drama",93,"PG",NA
"4461","The Chase","/movies/?id=chase.htm",7924955,"Fox","March","Action Comedy",94,"PG-13",NA
"4462","Bushwhacked","/movies/?id=bushwhacked.htm",7919823,"Fox","August","Comedy",90,"PG-13",NA
"4463","Arbitrage","/movies/?id=arbitrage.htm",7919574,"Roadside Attractions","September","Drama",100,"R",NA
"4464","Miracle at St. Anna","/movies/?id=miracleatstanna.htm",7919117,"Buena Vista","September","War Drama",166,"R",45
"4465","Just the Way You Are","/movies/?id=justthewayyouare.htm",7889694,"MGM","November","Unknown",94,"PG",NA
"4466","Teen Wolf Too","/movies/?id=teenwolftoo.htm",7888703,"Atlantic","November","Horror Comedy",95,"PG",NA
"4467","The Fun House","/movies/?id=funhouse.htm",7886857,"Universal","March","Unknown",96,"R",NA
"4468","City of Ember","/movies/?id=cityofember.htm",7873007,"Fox","October","Family Adventure",95,"PG",55
"4469","Trumbo (2015)","/movies/?id=trumbo2015.htm",7857741,"Bleecker Street","November","Drama",124,"R",NA
"4470","D.A.R.Y.L.","/movies/?id=daryl.htm",7840873,"Paramount","June","Unknown",100,"PG",NA
"4471","Fatal Instinct","/movies/?id=fatalinstinct.htm",7839327,"MGM","October","Comedy",90,"PG-13",NA
"4472","The Night Listener","/movies/?id=nightlistener.htm",7836393,"Miramax","August","Thriller",90,"R",NA
"4473","Hoop Dreams","/movies/?id=hoopdreams.htm",7830611,"Fine Line","October","Documentary",170,"PG-13",NA
"4474","The Little Drummer Girl","/movies/?id=littledrummergirl.htm",7828841,"Warner Bros.","October","Unknown",130,"R",NA
"4475","Dead Calm","/movies/?id=deadcalm.htm",7825009,"Warner Bros.","April","Unknown",96,"R",NA
"4476","Serial Mom","/movies/?id=serialmom.htm",7820688,"Savoy","April","Comedy Thriller",93,"R",13
"4477","Slither","/movies/?id=slither.htm",7802450,"Universal","March","Sci-Fi Horror",96,"R",15
"4478","In Bruges","/movies/?id=inbruges.htm",7800824,"Focus Features","February","Crime Comedy",107,"R",NA
"4479","House II","/movies/?id=house2.htm",7800000,"New World","August","Unknown",88,"PG-13",NA
"4480","Vampire Academy","/movies/?id=vampireacademy.htm",7791979,"Weinstein Company","February","Fantasy",104,"PG-13",NA
"4481","The Best of Times","/movies/?id=bestoftimes.htm",7790931,"Universal","January","Unknown",104,"PG-13",NA
"4482","If Looks Could Kill","/movies/?id=iflookscouldkill.htm",7788597,"Warner Bros.","March","Action Comedy",89,"PG-13",NA
"4483","Bad Words","/movies/?id=badwords.htm",7779614,"Focus Features","March","Comedy",88,"R",NA
"4484","Sirens","/movies/?id=sirens.htm",7770731,"Miramax","March","Comedy / Drama",94,"R",NA
"4485","Enemies, A Love Story","/movies/?id=enemiesalovestory.htm",7754571,"Fox","December","Unknown",119,"R",NA
"4486","The Return","/movies/?id=revolver.htm",7749851,"Rogue Pictures","November","Horror",85,"PG-13",NA
"4487","The Beast Within","/movies/?id=beastwithin.htm",7742572,"MGM","February","Unknown",98,"R",NA
"4488","Being Julia","/movies/?id=beingjulia.htm",7739049,"Sony Classics","October","Period Comedy",105,"R",NA
"4489","Surviving the Game","/movies/?id=survivingthegame.htm",7727256,"New Line","April","Action",96,"R",NA
"4490","The Cook, The Thief, His Wife and Her Lover","/movies/?id=cookthethiefhiswifeandherlover.htm",7724701,"Miramax","April","Drama",124,"NC-17",NA
"4491","Disorganized Crime","/movies/?id=disorganizedcrime.htm",7723506,"Buena Vista","April","Unknown",101,"R",NA
"4492","A New Life","/movies/?id=newlife.htm",7721852,"Paramount","March","Unknown",104,"PG-13",NA
"4493","Expelled: No Intelligence Allowed","/movies/?id=expelled.htm",7720487,"Rocky Mountain Pictures","April","Documentary",90,"PG",NA
"4494","Tupac: Resurrection","/movies/?id=tupacresurrection.htm",7718961,"Paramount","November","Documentary",115,"R",NA
"4495","Dolphins and Whales: Tribes of the Ocean 3D","/movies/?id=dolphinsandwhales3d.htm",7714996,"3D Entertainment","February","IMAX",42,"Unrated",NA
"4496","The Collector","/movies/?id=collector09.htm",7712114,"Freestyle Releasing","July","Horror",85,"R",NA
"4497","Kevin Hart: Laugh at My Pain","/movies/?id=laughatmypain.htm",7706436,"Codeblack Entertainment","September","Concert",89,"R",NA
"4498","Mr. & Mrs. Bridge","/movies/?id=mrandmrsbridge.htm",7698010,"Miramax","November","Period Drama",125,"PG-13",NA
"4499","Mortdecai","/movies/?id=mortdecai.htm",7696134,"Lionsgate","January","Action Comedy",106,"R",60
"4500","Sarah's Key","/movies/?id=sarahskey.htm",7693187,"Weinstein Company","July","Foreign",111,"PG-13",NA
"4501","The Imaginarium of Doctor Parnassus","/movies/?id=imaginariumofdoctorparnassus.htm",7689607,"Sony Classics","December","Fantasy",122,"PG-13",30
"4502","Runaway Train","/movies/?id=runawaytrain.htm",7683620,"Cannon Films","December","Action Thriller",111,"R",NA
"4503","Strictly Business","/movies/?id=strictlybusiness.htm",7683267,"Warner Bros.","November","Romantic Comedy",83,"PG-13",NA
"4504","He-Man and She-Ra in The Secret of the Sword","/movies/?id=secretofthesword.htm",7660857,"Atlantic","March","Animation",195,"G",NA
"4505","The Order","/movies/?id=order.htm",7660806,"Fox","September","Horror Thriller",102,"R",NA
"4506","Fatso","/movies/?id=fatso.htm",7653061,"Fox","February","Unknown",93,"PG",NA
"4507","The Girl Who Played with Fire","/movies/?id=girlwhoplayedwithfire.htm",7638241,"Music Box Films","July","Thriller",129,"R",NA
"4508","Quicksilver","/movies/?id=quicksilver.htm",7634909,"Columbia","February","Unknown",106,"PG",NA
"4509","Ninja 3: The Domination","/movies/?id=ninja3.htm",7610785,"Cannon Films","September","Action",92,"R",NA
"4510","Losing Isaiah","/movies/?id=losingisaiah.htm",7603766,"Paramount","March","Drama",106,"R",NA
"4511","Promised Land (2012)","/movies/?id=promisedland2012.htm",7597898,"Focus Features","December","Drama",140,"R",NA
"4512","While We're Young","/movies/?id=whilewereyoung.htm",7587485,"A24","March","Comedy / Drama",94,"R",NA
"4513","Sprung","/movies/?id=sprung.htm",7575028,"Trimark","May","Romantic Comedy",109,"R",NA
"4514","Krippendorf's Tribe","/movies/?id=krippendorfstribe.htm",7571115,"Buena Vista","February","Comedy",94,"PG-13",NA
"4515","City of God","/movies/?id=cityofgod.htm",7564459,"Miramax","January","Foreign",131,"R",NA
"4516","Hackers","/movies/?id=hackers.htm",7563728,"MGM","September","Thriller",107,"PG-13",NA
"4517","Over Her Dead Body","/movies/?id=overherdeadbody.htm",7563670,"New Line","February","Fantasy Comedy",95,"PG-13",NA
"4518","Into the Night","/movies/?id=intothenight.htm",7562164,"Universal","February","Unknown",115,"R",NA
"4519","The Jerky Boys","/movies/?id=jerkyboys.htm",7557877,"Buena Vista","February","Comedy",82,"R",NA
"4520","El Cantante","/movies/?id=elcantante.htm",7556712,"Picturehouse","August","Music Drama",116,"R",NA
"4521","Wanted: Dead or Alive","/movies/?id=wanteddeadoralive.htm",7555000,"New World","January","Action",106,"R",NA
"4522","Proof","/movies/?id=proof.htm",7535331,"Miramax","September","Drama",99,"PG-13",20
"4523","Damage","/movies/?id=damage.htm",7532911,"New Line","December","Drama",112,"R",NA
"4524","The Curse of the Jade Scorpion","/movies/?id=curseofthejadescorpion.htm",7517191,"DreamWorks","August","Comedy Thriller",102,"PG-13",33
"4525","The Amazing Panda Adventure","/movies/?id=amazingpandaadventure.htm",7506759,"Warner Bros.","August","Family Adventure",84,"PG",NA
"4526","The Man Who Wasn't There","/movies/?id=manwhowasntthere.htm",7504257,"USA Films","November","Crime",116,"R",NA
"4527","Nothing Like the Holidays","/movies/?id=nothingliketheholidays.htm",7503736,"Overture Films","December","Comedy",99,"PG-13",NA
"4528","Martian Child","/movies/?id=martianchild.htm",7500310,"New Line","November","Drama",108,"PG",NA
"4529","How to Become a Detective","/movies/?id=howtobecomeadetective.htm",7500000,"Filmways","June","Unknown",NA,"Unrated",NA
"4530","How to Beat the High Cost of Living","/movies/?id=howtobeatthehighcostofliving.htm",7500000,"Filmways","January","Crime Comedy",105,"PG",NA
"4531","I Know Who Killed Me","/movies/?id=iknowwhokilledme.htm",7498716,"Sony / Columbia","July","Thriller",105,"R",NA
"4532","The Trip to Bountiful","/movies/?id=triptobountiful.htm",7491903,"Island Pictures","December","Unknown",108,"PG",NA
"4533","It Runs in the Family","/movies/?id=itrunsinthefamily.htm",7491839,"MGM","April","Comedy / Drama",109,"PG-13",NA
"4534","Foxes","/movies/?id=foxes.htm",7470348,"MGM","February","Unknown",106,"R",NA
"4535","Cyrus","/movies/?id=cyrus.htm",7468936,"Fox Searchlight","June","Comedy",92,"R",7
"4536","Stealing Home","/movies/?id=stealinghome.htm",7467504,"Warner Bros.","August","Unknown",98,"PG-13",NA
"4537","Taking Woodstock","/movies/?id=takingwoodstock.htm",7460204,"Focus Features","August","Comedy",121,"R",30
"4538","A Good Year","/movies/?id=goodyear.htm",7459300,"Fox","November","Romance",118,"PG-13",35
"4539","I'll See You In My Dreams","/movies/?id=dreams15.htm",7449681,"Bleecker Street","May","Comedy / Drama",92,"PG-13",NA
