"","sig_member","sig_score","sig_newline","sig_newline_e","sig_right","sig_right_e"
"158","pacu","2469",187,187,380,378
"159","DPR-pavlin","2464",0,0,527,498
"160","sigma425","2464",0,0,415,330
"161","simonlindholm","2463",0,0,871,728
"162","Scape","2461",13,13,964,805
"163","enot.1.10","2456",67,66,321,302
"164","sugim48","2456",0,0,246,201
"165","White_Bear","2454",287,287,332,264
"166","kawatea","2447",50,50,897,877
"167","arsijo","2447",0,0,747,740
"168","kraskevich","2446",0,0,412,398
"169","RNS_rus","2446",0,0,820,701
"170","uwi","2443",3,3,2612,2188
"171","qwaker.00","2442",0,0,477,452
"172","bayleef","2442",61,61,224,224
"173","Milanin","2440",154,152,271,168
"174","VladGavrila","2440",94,94,195,195
"175","witua","2439",116,116,385,379
"176","Trumen","2439",130,130,411,385
"177","adrozdova","2439",0,0,437,431
"178","chemthan","2438",0,0,1531,1013
"179","aidos.nurmash","2436",0,0,621,613
"180","ayoyia","2436",0,0,857,827
"181","nfssdq","2435",7,7,620,541
"182","dancho","2434",0,0,723,721
"183","netman","2433",0,0,1669,1416
"184","Timur_Sitdikov","2427",9,9,518,494
"185","Laakeri","2427",0,0,1159,1051
"186","koishi","2425",2,2,416,397
"187","speedermen","2423",27,27,696,687
"188","HellKitsune","2420",0,0,993,952
"189","BudAlNik","2419",0,0,1193,1067
"190","gendelpiekel","2418",0,0,599,477
"191","BigBag","2417",0,0,621,618
"192","fqw","2414",0,0,1042,710
"193","zhwzhw","2414",116,116,320,160
"194","Shef","2413",94,94,245,240
"195","takio","2413",15,15,592,555
"196","ngochai94","2413",20,20,308,276
"197","SpyCheese","2413",72,72,400,306
"198","tutanjokersharp","2412",7,7,718,465
"199","SanSiroWaltz","2411",126,126,414,321
"200","tuna_salad","2410",65,65,492,265
"201","mhss","2410",0,0,585,567
